,chip_index,aoi_index,sentinel_2_dates,sentinel_1_dates,landsat_dates,land_cover,chip_footprint,epsg,status,x_center,y_center,cls_dim1,cls_dim2,centroid
12,12,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.025680333995545 9.9358051041301, 39.02568101159396 9.944487925739498, 39.01692301152464 9.944488483227994, 39.016922565007704 9.935805661122323, 39.025680333995545 9.9358051041301))",32637,success,39.02130173049122,9.940146812646727,-97.44369769572332,10.928690477437584,POINT (39.02130173049122 9.940146812646727)
19,19,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.79633749590086 9.934859404202076, 39.79635850526962 9.943541383201037, 39.78760137149339 9.943562107290534, 39.78758059309502 9.934880109843073, 39.79633749590086 9.934859404202076))",32637,success,39.79196948998092,9.939210770223918,-18.927727230292646,-23.516533859748677,POINT (39.79196948998092 9.939210770223918)
20,20,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.8226080878229 9.934795913951115, 39.82262979008793 9.943477836380982, 39.81387271477881 9.943499247743828, 39.813851243476684 9.934817306253665, 39.8226080878229 9.934795913951115))",32637,success,39.81824045753441,9.939147595172003,29.884131166659017,15.379703859944357,POINT (39.81824045753441 9.939147595172003)
21,21,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.866392006661506 9.934685519254558, 39.86641486370222 9.94336734332405, 39.85765789007657 9.943389900092665, 39.85763526398571 9.934708055943254, 39.866392006661506 9.934685519254558))",32637,success,39.862025004518706,9.939037723742999,125.45527689111731,-107.70761060245302,POINT (39.862025004518706 9.939037723742999)
22,22,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.87514872836758 9.934662753696337, 39.875171816355476 9.943344557481991, 39.86641486370222 9.94336734332405, 39.866392006661506 9.934685519254558, 39.87514872836758 9.934662753696337))",32637,success,39.87078185216777,9.939015062528554,-60.509578503789356,-38.53002532593956,POINT (39.87078185216777 9.939015062528554)
23,23,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.90141876554876 9.934593083830936, 39.90144254636181 9.943274825541605, 39.892685657897154 9.9432982985881, 39.892662108023075 9.934616535981855, 39.90141876554876 9.934593083830936))",32637,success,39.8970522678054,9.938945705074795,11.8425142351214,29.195671689296518,POINT (39.8970522678054 9.938945705074795)
24,24,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.91017540125727 9.934569402821166, 39.91019941300646 9.943251123432354, 39.90144254636181 9.943274825541605, 39.90141876554876 9.934593083830936, 39.91017540125727 9.934569402821166))",32637,success,39.90580902987515,9.938922127995635,-93.77555615010951,163.68051695947003,POINT (39.90580902987515 9.938922127995635)
25,25,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.918932014936715 9.934545492955284, 39.918956257619236 9.943227192263086, 39.91019941300646 9.943251123432354, 39.91017540125727 9.934569402821166, 39.918932014936715 9.934545492955284))",32637,success,39.914565770020374,9.938898321957042,106.4419302503506,-44.378102468591266,POINT (39.914565770020374 9.938898321957042)
26,26,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.95395824512686 9.934447564986218, 39.95398341151391 9.943129177041481, 39.945226657147465 9.943154024422924, 39.94520172168218 9.934472390248684, 39.95395824512686 9.934447564986218))",32637,success,39.94959250711857,9.938800808263688,-75.70878043259977,-61.986099676156456,POINT (39.94959250711857 9.938800808263688)
27,27,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.962714745483225 9.93442251088171, 39.96274014278908 9.943104100614098, 39.95398341151391 9.943129177041481, 39.95395824512686 9.934447564986218, 39.962714745483225 9.93442251088171))",32637,success,39.958349134463106,9.938775857469684,-33.67965701012656,70.81171854782696,POINT (39.958349134463106 9.938775857469684)
34,34,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.78755983375941 9.926198107861715, 39.78758059309502 9.934880109843073, 39.778823671226434 9.934900586592073, 39.77880314265177 9.926218566367078, 39.78755983375941 9.926198107861715))",32637,success,39.78319180874044,9.930549361738766,51.415161020269096,1.222200416195136,POINT (39.78319180874044 9.930549361738766)
35,35,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.848856125959735 9.926048495193763, 39.84887850055208 9.934730363759824, 39.840121716572476 9.934752442701685, 39.84009957272341 9.926070554464543, 39.848856125959735 9.926048495193763))",32637,success,39.844488977396324,9.930400483102419,-35.141006121070205,-139.24391068808305,POINT (39.844488977396324 9.930400483102419)
37,37,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.91015141153713 9.92588767766208, 39.91017540125727 9.934569402821166, 39.90141876554876 9.934593083830936, 39.901395006552924 9.925911337573437, 39.91015141153713 9.92588767766208))",32637,success,39.905785144555544,9.930240394544027,145.34839147615867,69.25428558510234,POINT (39.905785144555544 9.930240394544027)
41,41,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.53359485993259 9.918016095537611, 39.53360891340427 9.926698548289108, 39.52485176171992 9.926712373919637, 39.524837938856265 9.918029908839882, 39.53359485993259 9.918016095537611))",32637,success,39.52922336750327,9.922364250703408,160.19675359611847,-23.989197667060893,POINT (39.52922336750327 9.922364250703408)
48,48,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.83132110617206 9.917410472822814, 39.831342999155616 9.926092385061981, 39.82258640546819 9.926113986983554, 39.82256474302125 9.917432055482111, 39.83132110617206 9.917410472822814))",32637,success,39.826953811930885,9.921762244143173,-77.05333383135763,-129.68186693734395,POINT (39.826953811930885 9.921762244143173)
50,50,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.025678304929926 9.909756612363681, 39.02567898066361 9.918439447438432, 39.01692167320273 9.918440003438176, 39.0169212279146 9.909757167867227, 39.025678304929926 9.909756612363681))",32637,success,39.02130004663848,9.914098326817625,101.73881693677504,19.1780128166902,POINT (39.02130004663848 9.914098326817625)
52,52,4,"['20230222', '20230622', '20230826', '20231204']","['20230226', '20230626', '20230825', '20231129']","['20230220', '20230620', '20230916', '20231205']",5,"POLYGON ((39.577364074859354 9.909261208372774, 39.57737926737279 9.917943600930474, 39.56862241298326 9.917958556925804, 39.56860745085742 9.909276151020677, 39.577364074859354 9.909261208372774))",32637,success,39.572993300462514,9.913609898352128,-142.7034234079452,48.50768396104874,POINT (39.572993300462514 9.913609898352128)
